file_name,pages,file_size_kb,has_text,word_count,character_count,status,error
dbsalhsifc copy.pdf,1,23.99,True,1304,9161,Valid,
dbsalhsifc.pdf,1,23.99,True,1304,9161,Valid,
dbsapbandocwwb copy.pdf,1,19.99,True,834,6143,Valid,
dbsapbandocwwb.pdf,1,19.99,True,834,6143,Valid,
dbsheo copy.pdf,1,20.54,True,1123,7971,Valid,
dbsheo.pdf,1,20.54,True,1123,7971,Valid,
dcaltasg copy.pdf,3,39.24,True,3627,24085,Valid,
dcaltasg.pdf,3,39.24,True,3627,24085,Valid,
dccrcpu-giapsca copy.pdf,1,20.3,True,806,6260,Valid,
dccrcpu-giapsca.pdf,1,20.3,True,806,6260,Valid,
dcgs-pulws copy.pdf,1,21.11,True,1086,8239,Valid,
dcgs-pulws.pdf,1,21.11,True,1086,8239,Valid,
dcpf copy.pdf,1,20.96,True,955,6997,Valid,
dcpf.pdf,1,20.96,True,955,6997,Valid,
dcps copy.pdf,1,19.51,True,732,5696,Valid,
dcps.pdf,1,19.51,True,732,5696,Valid,
ddanwrasi copy.pdf,1,19.53,True,702,5591,Valid,
ddanwrasi.pdf,1,19.53,True,702,5591,Valid,
ddanwrasii copy.pdf,1,19.49,True,735,5845,Valid,
ddanwrasii.pdf,1,19.49,True,735,5845,Valid,
dddps-assam copy.pdf,1,22.81,True,1321,9212,Valid,
dddps-assam.pdf,1,22.81,True,1321,9212,Valid,
dddrs copy.pdf,2,24.49,True,1292,10125,Valid,
dddrs.pdf,2,24.49,True,1292,10125,Valid,
ddkfs copy.pdf,2,24.33,True,1467,10292,Valid,
ddkfs.pdf,2,24.33,True,1467,10292,Valid,
ddmcs copy.pdf,1,17.6,True,571,4224,Valid,
ddmcs.pdf,1,17.6,True,571,4224,Valid,
ddskpdfs copy.pdf,2,27.09,True,1809,12242,Valid,
ddskpdfs.pdf,2,27.09,True,1809,12242,Valid,
ddskrgnrfm copy.pdf,2,28.92,True,1933,13311,Valid,
ddskrgnrfm.pdf,2,28.92,True,1933,13311,Valid,
ddsy copy.pdf,1,23.26,True,1300,9146,Valid,
ddsy.pdf,1,23.26,True,1300,9146,Valid,
ddtmcp copy.pdf,1,20.46,True,897,7054,Valid,
ddtmcp.pdf,1,20.46,True,897,7054,Valid,
dduby copy.pdf,1,20.02,True,911,6787,Valid,
dduby(1) copy.pdf,1,20.02,True,911,6787,Valid,
dduby(1).pdf,1,20.02,True,911,6787,Valid,
dduby.pdf,1,20.02,True,911,6787,Valid,
ddugku copy.pdf,2,23.77,True,1277,9447,Valid,
ddugku.pdf,2,23.77,True,1277,9447,Valid,
ddwps copy.pdf,1,19.79,True,807,6046,Valid,
ddwps.pdf,1,19.79,True,807,6046,Valid,
deisrs copy.pdf,1,20.45,True,958,7242,Valid,
deisrs.pdf,1,20.45,True,958,7242,Valid,
des-sdspdpgc copy.pdf,1,22.57,True,1196,9133,Valid,
des-sdspdpgc.pdf,1,22.57,True,1196,9133,Valid,
dfbs copy.pdf,1,20.52,True,881,6374,Valid,
dfbs.pdf,1,20.52,True,881,6374,Valid,
dfft-scheme copy.pdf,2,25.61,True,1443,10454,Valid,
dfft-scheme.pdf,2,25.61,True,1443,10454,Valid,
dfhsscoebc copy.pdf,1,19.99,True,891,6768,Valid,
dfhsscoebc(1) copy.pdf,1,19.99,True,891,6768,Valid,
dfhsscoebc(1).pdf,1,19.99,True,891,6768,Valid,
dfhsscoebc.pdf,1,19.99,True,891,6768,Valid,
dg-sw copy.pdf,1,21.93,True,986,7681,Valid,
dg-sw.pdf,1,21.93,True,986,7681,Valid,
dgbs-pbaocwwb copy.pdf,1,20.34,True,949,7385,Valid,
dgbs-pbaocwwb.pdf,1,20.34,True,949,7385,Valid,
dgy copy.pdf,1,19.85,True,758,5919,Valid,
dgy.pdf,1,19.85,True,758,5919,Valid,
dicf copy.pdf,2,29.28,True,2131,15836,Valid,
dicf.pdf,2,29.28,True,2131,15836,Valid,
disabled-pension copy.pdf,1,20.51,True,856,6103,Valid,
disabled-pension(1) copy.pdf,1,20.51,True,856,6103,Valid,
disabled-pension(1).pdf,1,20.51,True,856,6103,Valid,
disabled-pension.pdf,1,20.51,True,856,6103,Valid,
dk copy.pdf,1,21.94,True,1285,8675,Valid,
dk.pdf,1,21.94,True,1285,8675,Valid,
dlbe copy.pdf,2,27.08,True,1655,12480,Valid,
dlbe.pdf,2,27.08,True,1655,12480,Valid,
dls copy.pdf,1,22.82,True,1241,8371,Valid,
dls-punjab copy.pdf,2,24.9,True,1352,9392,Valid,
dls-punjab.pdf,2,24.9,True,1352,9392,Valid,
dls.pdf,1,22.82,True,1241,8371,Valid,
dmadls copy.pdf,1,22.43,True,1080,8003,Valid,
dmadls(1) copy.pdf,1,22.43,True,1080,8003,Valid,
dmadls(1).pdf,1,22.43,True,1080,8003,Valid,
dmadls(2) copy.pdf,1,22.43,True,1080,8003,Valid,
dmadls(2).pdf,1,22.43,True,1080,8003,Valid,
dmadls.pdf,1,22.43,True,1080,8003,Valid,
dmcsy copy.pdf,1,17.3,True,439,3712,Valid,
dmcsy.pdf,1,17.3,True,439,3712,Valid,
dmochn copy.pdf,1,18.77,True,600,5018,Valid,
dmochn.pdf,1,18.77,True,600,5018,Valid,
dmrnicmasi copy.pdf,1,19.94,True,867,6724,Valid,
dmrnicmasi.pdf,1,19.94,True,867,6724,Valid,
dmrnicmasii copy.pdf,1,20.03,True,890,6798,Valid,
dmrnicmasii.pdf,1,20.03,True,890,6798,Valid,
doci copy.pdf,1,19.12,True,654,5111,Valid,
doci.pdf,1,19.12,True,654,5111,Valid,
doh copy.pdf,1,19.99,True,832,6288,Valid,
doh.pdf,1,19.99,True,832,6288,Valid,
doits copy.pdf,1,19.52,True,758,5932,Valid,
doits.pdf,1,19.52,True,758,5932,Valid,
dot-pli-scheme copy.pdf,4,43.91,True,4506,29942,Valid,
dot-pli-scheme.pdf,4,43.91,True,4506,29942,Valid,
dp-cmsguy copy.pdf,2,25.0,True,1450,10165,Valid,
dp-cmsguy.pdf,2,25.0,True,1450,10165,Valid,
dp-gbocwwb copy.pdf,1,20.79,True,1000,7542,Valid,
dp-gbocwwb.pdf,1,20.79,True,1000,7542,Valid,
dpabocwwb copy.pdf,2,24.25,True,1305,9806,Valid,
dpabocwwb.pdf,2,24.25,True,1305,9806,Valid,
dpcw copy.pdf,1,22.57,True,1201,8656,Valid,
dpcw.pdf,1,22.57,True,1201,8656,Valid,
dpgsslalgsc copy.pdf,1,21.46,True,866,6466,Valid,
dpgsslalgsc.pdf,1,21.46,True,866,6466,Valid,
dpgsslamgsc copy.pdf,1,22.37,True,1027,7907,Valid,
